document_id,company,ticker,report_type,form,publication_date,reporting_period,source_url,local_artifact,sha256,difficulty_flags,development_safe_status
ee036-fresh-01-jnj,JOHNSON & JOHNSON,JNJ,annual_report,10-K,2026-02-11,2025-12-28,https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm,data/evidence_engine_v0_3_6/fresh_sources/jnj-000020040626000016.html,082f4e489d4c19f585cae4c8b62acea92bd6727576f7b0e450b9dfe8ecd42694,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-02-jnj,JOHNSON & JOHNSON,JNJ,interim_report,10-Q,2026-07-23,2026-06-28,https://www.sec.gov/Archives/edgar/data/200406/000020040626000153/jnj-20260628.htm,data/evidence_engine_v0_3_6/fresh_sources/jnj-000020040626000153.html,614b18cdfe1e00232c3d7914c5f266fdc16545b113c71c4034bdc0f07a50fa1f,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-03-tsla,"Tesla, Inc.",TSLA,annual_report,10-K,2026-01-29,2025-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,data/evidence_engine_v0_3_6/fresh_sources/tsla-000162828026003952.html,90d5d2bc4057df41c645f85dcebe575af9b0953a6a1902d189297bec17fd440a,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-04-tsla,"Tesla, Inc.",TSLA,interim_report,10-Q,2026-07-23,2026-06-30,https://www.sec.gov/Archives/edgar/data/1318605/000162828026049270/tsla-20260630.htm,data/evidence_engine_v0_3_6/fresh_sources/tsla-000162828026049270.html,8f562b36769e31c93590b7e97d1df69640dee8d7708f330785cd6f40b14c6101,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-05-amzn,AMAZON COM INC,AMZN,annual_report,10-K,2026-02-06,2025-12-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,data/evidence_engine_v0_3_6/fresh_sources/amzn-000101872426000004.html,beb1bfc28558135e76882db0cf36ba72a1ab44e2144fe37534f4da1e120ddb57,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-06-amzn,AMAZON COM INC,AMZN,interim_report,10-Q,2026-07-31,2026-06-30,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,data/evidence_engine_v0_3_6/fresh_sources/amzn-000101872426000026.html,d07b8a88fa442c2c55bd65b3f1d336ca16e7d1e9fda831e1063d24adea60e4eb,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-07-pfe,PFIZER INC,PFE,annual_report,10-K,2026-02-26,2025-12-31,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm,data/evidence_engine_v0_3_6/fresh_sources/pfe-000007800326000026.html,175e07c21ee258eddd9952e443d34df2a297d0c38e2d1312dff0a64a31c401ab,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-08-pfe,PFIZER INC,PFE,interim_report,10-Q,2026-08-04,2026-06-28,https://www.sec.gov/Archives/edgar/data/78003/000007800326000095/pfe-20260628.htm,data/evidence_engine_v0_3_6/fresh_sources/pfe-000007800326000095.html,e7eedee8103786bd6d60b555741a427c8242a972bd5d1458d4e4ca25d02ce141,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-09-tsn,"TYSON FOODS, INC.",TSN,annual_report,10-K,2025-11-10,2025-09-27,https://www.sec.gov/Archives/edgar/data/100493/000010049325000095/tsn-20250927.htm,data/evidence_engine_v0_3_6/fresh_sources/tsn-000010049325000095.html,0cd48e98cf6747eb56060a9e76d9650ee3bb541569e8d5b89e7e3d8b1ff94694,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-10-tsn,"TYSON FOODS, INC.",TSN,interim_report,10-Q,2026-08-03,2026-06-27,https://www.sec.gov/Archives/edgar/data/100493/000010049326000058/tsn-20260627.htm,data/evidence_engine_v0_3_6/fresh_sources/tsn-000010049326000058.html,f6801e77576f40b254c9d2dcc320133d5fd8504f82a96253933faa4ef9570257,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-11-tgt,TARGET CORP,TGT,annual_report,10-K,2026-03-11,2026-01-31,https://www.sec.gov/Archives/edgar/data/27419/000002741926000016/tgt-20260131.htm,data/evidence_engine_v0_3_6/fresh_sources/tgt-000002741926000016.html,20bc4552dcb1df7c0bbd837f721de931e2ab4cdd2cb2e3c147f335d41eb68a52,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-12-tgt,TARGET CORP,TGT,interim_report,10-Q,2026-05-29,2026-05-02,https://www.sec.gov/Archives/edgar/data/27419/000002741926000022/tgt-20260502.htm,data/evidence_engine_v0_3_6/fresh_sources/tgt-000002741926000022.html,7222d08799f8f92e35e9fc8e635df1fe89d3133b53a3b874fda90dd5fcef9bab,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-13-unp,UNION PACIFIC CORP,UNP,annual_report,10-K,2026-02-06,2025-12-31,https://www.sec.gov/Archives/edgar/data/100885/000010088526000037/unp-20251231.htm,data/evidence_engine_v0_3_6/fresh_sources/unp-000010088526000037.html,36169a354ee32c8c314633b2c55de9c3dbf4db24da61db996457f73b0a8e40c0,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
ee036-fresh-14-unp,UNION PACIFIC CORP,UNP,interim_report,10-Q,2026-07-23,2026-06-30,https://www.sec.gov/Archives/edgar/data/100885/000010088526000250/unp-20260630.htm,data/evidence_engine_v0_3_6/fresh_sources/unp-000010088526000250.html,e2b07afc42ae959169c469236c71c5fed985ba3b945f2e1200194850870aca29,tables|legal_accounting|historical|conditional|third_party|cross_family|operational,fresh_validation_no_outcomes
