document_id,company,ticker,report_type,form,publication_date,reporting_period,source_url,local_artifact,sha256,difficulty_flags,development_safe_status,company_unused,ticker_unused,url_unused,hash_unused
ee035-fresh-01-pep,PEPSICO INC,PEP,annual_report,10-K,2026-02-03,2025-12-27,https://www.sec.gov/Archives/edgar/data/77476/000007747626000007/pep-20251227.htm,data/evidence_engine_v0_3_5/fresh_sources/pep-0000077476-26-000007.html,7b93bbae6ad51b622e028281184f3756c9420ff87e03b2ebebc4a44ec51df22a,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-02-pep,PEPSICO INC,PEP,interim_report,10-Q,2026-07-09,2026-06-13,https://www.sec.gov/Archives/edgar/data/77476/000007747626000035/pep-20260613.htm,data/evidence_engine_v0_3_5/fresh_sources/pep-0000077476-26-000035.html,2cb737ee8df287390d261d9729889d1a3e17fe54dc2732b9d6256c444edf5701,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-03-rtx,RTX Corp,RTX,annual_report,10-K,2026-02-06,2025-12-31,https://www.sec.gov/Archives/edgar/data/101829/000010182926000006/rtx-20251231.htm,data/evidence_engine_v0_3_5/fresh_sources/rtx-0000101829-26-000006.html,9a8c294d9979aee2fc58ff3bcc039afadef57157b0cd5aff8e49f7c422361209,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-04-rtx,RTX Corp,RTX,interim_report,10-Q,2026-07-23,2026-06-30,https://www.sec.gov/Archives/edgar/data/101829/000010182926000027/rtx-20260630.htm,data/evidence_engine_v0_3_5/fresh_sources/rtx-0000101829-26-000027.html,9f013f79edcb3e5eba91055c1da62413a58f51ba47e7380d33744949362f3ec2,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-05-csco,"CISCO SYSTEMS, INC.",CSCO,annual_report,10-K,2025-09-03,2025-07-26,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm,data/evidence_engine_v0_3_5/fresh_sources/csco-0000858877-25-000111.html,c63d07c5ceca03b9854bb42270dc157b707ee8983ea31de2668974495301da1a,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-06-csco,"CISCO SYSTEMS, INC.",CSCO,interim_report,10-Q,2026-05-19,2026-04-25,https://www.sec.gov/Archives/edgar/data/858877/000085887726000078/csco-20260425.htm,data/evidence_engine_v0_3_5/fresh_sources/csco-0000858877-26-000078.html,016be1731042fde0b5c89e794bc4e60e1af8fd3dc6f358edbcc59436814ef50f,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-07-lmt,LOCKHEED MARTIN CORP,LMT,annual_report,10-K,2026-01-29,2025-12-31,https://www.sec.gov/Archives/edgar/data/936468/000162828026004195/lmt-20251231.htm,data/evidence_engine_v0_3_5/fresh_sources/lmt-0001628280-26-004195.html,252829a67a8ce7821a595295a9a20353f8a05c18a2ff989a9b21983a1ea51b32,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-08-lmt,LOCKHEED MARTIN CORP,LMT,interim_report,10-Q,2026-07-23,2026-06-28,https://www.sec.gov/Archives/edgar/data/936468/000162828026049411/lmt-20260628.htm,data/evidence_engine_v0_3_5/fresh_sources/lmt-0001628280-26-049411.html,7121f63fab05dffe810d0af345200622bef247486ca538dc25a1380a6adddee1,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-09-nke,"NIKE, Inc.",NKE,annual_report,10-K,2026-07-15,2026-05-31,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,data/evidence_engine_v0_3_5/fresh_sources/nke-0000320187-26-000088.html,6dd837804f1ede7b42ea6511402f3d01e59331ed3a362a88e1e4fc7269d7d41a,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
ee035-fresh-10-nke,"NIKE, Inc.",NKE,interim_report,10-Q,2026-04-01,2026-02-28,https://www.sec.gov/Archives/edgar/data/320187/000032018726000037/nke-20260228.htm,data/evidence_engine_v0_3_5/fresh_sources/nke-0000320187-26-000037.html,1a5958d0a896849e8bb23035d7f2a938d5c60ab2a1a2e0be6393d9e5ff2b5206,tables|legal_accounting|historical_references|conditional_language|third_party_references|operational_changes|ordinary_reporting,external_us_fresh_no_outcomes,true,true,true,true
